click_id,timestamp,campaign_id,visitor_id,converted
CLK_000001,2026-08-15 11:46:31,CAMP_004,VISITOR_261,False
CLK_000002,2026-09-13 12:08:31,CAMP_004,VISITOR_376,False
CLK_000003,2026-09-06 13:34:31,CAMP_005,VISITOR_385,False
CLK_000004,2026-08-21 18:06:31,CAMP_001,VISITOR_394,False
CLK_000005,2026-08-19 06:02:31,CAMP_003,VISITOR_285,True
CLK_000006,2026-09-11 10:43:31,CAMP_001,VISITOR_457,False
CLK_000007,2026-09-04 04:41:31,CAMP_005,VISITOR_244,True
CLK_000008,2026-08-28 19:40:31,CAMP_001,VISITOR_352,False
CLK_000009,2026-09-13 13:51:31,CAMP_003,VISITOR_433,False
CLK_000010,2026-09-11 18:58:31,CAMP_001,VISITOR_477,False
CLK_000011,2026-08-22 11:23:31,CAMP_005,VISITOR_222,False
CLK_000012,2026-08-20 06:47:31,CAMP_002,VISITOR_101,True
CLK_000013,2026-08-17 20:58:31,CAMP_005,VISITOR_337,False
CLK_000014,2026-09-13 14:31:31,CAMP_004,VISITOR_407,False
CLK_000015,2026-09-12 04:00:31,CAMP_005,VISITOR_208,False
CLK_000016,2026-08-23 08:15:31,CAMP_004,VISITOR_320,False
CLK_000017,2026-08-22 12:30:31,CAMP_004,VISITOR_108,False
CLK_000018,2026-08-24 15:21:31,CAMP_002,VISITOR_336,False
CLK_000019,2026-08-26 10:50:31,CAMP_005,VISITOR_430,False
CLK_000020,2026-09-12 14:19:31,CAMP_003,VISITOR_361,True
CLK_000021,2026-09-13 02:38:31,CAMP_005,VISITOR_286,False
CLK_000022,2026-08-15 23:38:31,CAMP_001,VISITOR_370,False
CLK_000023,2026-09-10 11:07:31,CAMP_001,VISITOR_309,False
CLK_000024,2026-09-07 20:52:31,CAMP_004,VISITOR_331,True
CLK_000025,2026-08-16 14:56:31,CAMP_004,VISITOR_318,True
CLK_000026,2026-09-02 14:19:31,CAMP_004,VISITOR_422,True
CLK_000027,2026-08-26 13:50:31,CAMP_003,VISITOR_169,False
CLK_000028,2026-08-16 14:50:31,CAMP_002,VISITOR_175,False
CLK_000029,2026-08-26 17:12:31,CAMP_001,VISITOR_100,False
CLK_000030,2026-09-12 10:59:31,CAMP_004,VISITOR_235,False
CLK_000031,2026-08-16 22:47:31,CAMP_005,VISITOR_341,False
CLK_000032,2026-08-26 07:46:31,CAMP_005,VISITOR_131,False
CLK_000033,2026-08-20 22:40:31,CAMP_004,VISITOR_459,False
CLK_000034,2026-08-25 02:23:31,CAMP_005,VISITOR_477,True
CLK_000035,2026-08-17 14:46:31,CAMP_002,VISITOR_297,False
CLK_000036,2026-08-26 09:25:31,CAMP_004,VISITOR_107,False
CLK_000037,2026-08-27 19:07:31,CAMP_005,VISITOR_130,False
CLK_000038,2026-08-21 08:55:31,CAMP_004,VISITOR_148,False
CLK_000039,2026-08-27 03:26:31,CAMP_004,VISITOR_275,True
CLK_000040,2026-08-16 15:30:31,CAMP_003,VISITOR_223,True
CLK_000041,2026-09-02 21:09:31,CAMP_001,VISITOR_222,False
CLK_000042,2026-08-24 02:58:31,CAMP_005,VISITOR_275,True
CLK_000043,2026-08-29 06:24:31,CAMP_001,VISITOR_220,False
CLK_000044,2026-09-10 03:43:31,CAMP_003,VISITOR_121,False
CLK_000045,2026-08-15 16:36:31,CAMP_005,VISITOR_390,False
CLK_000046,2026-08-16 03:10:31,CAMP_004,VISITOR_315,False
CLK_000047,2026-08-31 12:23:31,CAMP_001,VISITOR_332,True
CLK_000048,2026-09-08 23:29:31,CAMP_002,VISITOR_323,False
CLK_000049,2026-08-21 21:20:31,CAMP_001,VISITOR_375,False
CLK_000050,2026-08-27 01:13:31,CAMP_002,VISITOR_273,False
